[[804, 7648, 3687, 5256, 765, 4269, 3644, 4471, 2216, 9118],
     [914, 1882, 3009, 7115, 3598, 9998, 6970, 9467, 3085, 2152],
     [8649, 9773, 6778, 563, 1904, 4123, 9541, 7587, 1996, 9053],
     [3031, 2720, 3884, 6102, 4506, 4420, 1240, 5816, 3263, 9726],
     [1457, 4872, 7666, 4124, 9768, 9777, 8006, 972, 4300, 38],
     [5250, 4749, 3753, 7243, 7543, 3017, 1917, 6245, 685, 9395],
     [7901, 7002, 8414, 3737, 5189, 9562, 3853, 5425, 4001, 5558],
     [5812, 4465, 1072, 6820, 884, 5808, 1798, 4394, 2357, 8208],
     [3176, 1740, 5244, 1652, 3746, 3609, 6403, 5753, 7441, 4210],
     [5907, 9621, 1292, 416, 1915, 9495, 9016, 148, 8691, 8407],
     [7532, 8093, 3029, 8126, 5667, 3882, 1159, 7034, 3214, 6807],
     [2579, 4018, 601, 2976, 1319, 7120, 7748, 2431, 8866, 4660],
     [5850, 3021, 2647, 5619, 8439, 4026, 1187, 4852, 3597, 9487],
     [8544, 6243, 482, 6615, 8517, 6523, 3311, 7179, 2086, 8241],
     [4662, 3096, 6813, 3202, 4792, 5657, 3706, 1648, 6059, 6000],
     [2566, 5464, 3643, 2842, 6279, 7812, 344, 736, 7346, 239],
     [2690, 5580, 2212, 8434, 6389, 8981, 6436, 2662, 5244, 864],
     [4776, 4723, 4590, 7438, 6263, 5149, 4013, 4946, 4538, 9173],
     [8000, 4334, 6243, 7190, 1769, 5238, 758, 7222, 6473, 4876],
     [3244, 5268, 7099, 3850, 3885, 144, 3948, 4081, 8078, 4515],
     [4360, 6738, 3930, 4448, 9403, 3435, 5969, 7379, 7230, 7410],
     [9492, 4764, 9173, 6234, 369, 6229, 4641, 5123, 8986, 2979],
     [6138, 9009, 927, 7754, 1765, 9203, 8045, 1799, 8082, 3996],
     [3350, 2126, 7166, 6156, 6157, 6942, 4403, 30, 1478, 605],
     [9996, 9251, 9708, 5074, 3639, 8702, 7362, 6426, 9807, 3857],
     [9069, 3326, 1456, 7389, 3656, 9009, 46, 236, 3641, 5870],
     [3023, 3210, 8634, 2513, 2871, 1582, 7222, 1175, 9089, 1477],
     [8664, 5088, 501, 7022, 3604, 2899, 8456, 2508, 3842, 5755],
     [2353, 6971, 8400, 8755, 9276, 4054, 8720, 8256, 8833, 6183],
     [4472, 3494, 5285, 8254, 7790, 7703, 5464, 4510, 3450, 4607],
     [2260, 7011, 8627, 4918, 9037, 5397, 2394, 3881, 6868, 8533],
     [4421, 8858, 7477, 4471, 3029, 6298, 5479, 850, 835, 4592],
     [2272, 815, 3872, 3719, 5250, 6983, 6256, 2042, 753, 7433],
     [5128, 8870, 2982, 464, 5201, 3124, 2983, 7755, 7004, 7594],
     [3054, 1715, 3523, 7672, 7935, 5332, 7044, 1097, 7935, 2942],
     [6519, 2766, 2012, 2322, 9579, 4311, 3193, 4418, 7764, 3129],
     [9108, 7841, 1654, 890, 7097, 961, 7665, 6905, 6220, 1707],
     [5805, 7377, 5458, 5423, 4100, 2521, 9748, 4761, 216, 4496],
     [7952, 9854, 140, 9845, 2600, 8274, 4668, 3549, 619, 7546],
     [5136, 8150, 2083, 2729, 3345, 8835, 894, 1525, 9433, 1412],
     [7514, 5356, 8953, 6612, 5730, 936, 1827, 4920, 4872, 200],
     [8266, 4427, 3476, 2934, 288, 300, 6589, 8600, 4927, 6306],
     [5086, 6083, 6122, 5085, 2678, 1157, 4621, 3107, 3224, 105],
     [4229, 6061, 9047, 2492, 7168, 7273, 126, 8295, 9607, 5756],
     [4215, 7269, 8444, 5338, 5571, 1687, 1534, 7066, 6455, 1022],
     [5151, 3379, 2492, 6068, 7549, 8251, 3963, 3244, 8556, 9773],
     [2391, 2877, 4200, 7573, 1536, 9618, 5532, 7608, 1094, 2913],
     [1801, 2128, 5960, 167, 4631, 9727, 7102, 292, 3289, 587],
     [6915, 9233, 7803, 627, 7465, 1804, 2861, 9239, 31, 3276],
     [8559, 3109, 9188, 3594, 3169, 5192, 7574, 9436, 3328, 7140],
     [7502, 7331, 2674, 995, 6827, 8073, 931, 178, 2035, 2533],
     [5872, 4096, 411, 4028, 9437, 4011, 262, 6797, 39, 5794],
     [7632, 6334, 6004, 4491, 1400, 7983, 8803, 4584, 2425, 2145],
     [3825, 59, 5151, 5150, 8761, 4312, 19, 3419, 1230, 5056],
     [2699, 8892, 5793, 3479, 8919, 9222, 6538, 8841, 1894, 9852],
     [6634, 4154, 320, 5642, 9883, 7698, 920, 9246, 7785, 3723],
     [4477, 630, 4059, 1732, 2717, 1680, 9690, 4229, 6249, 9178],
     [6767, 9446, 5668, 4860, 2167, 9617, 7130, 7567, 9450, 51],
     [6775, 288, 4092, 8435, 2247, 1730, 5230, 4371, 9640, 9215],
     [7537, 8369, 1484, 1900, 8920, 1302, 5877, 346, 3326, 6751],
     [2382, 3624, 2035, 7279, 3792, 8917, 3612, 5905, 9103, 2601],
     [6809, 5243, 418, 9578, 1962, 7588, 3516, 6352, 770, 7776],
     [1890, 6498, 5316, 7219, 7889, 7497, 603, 3549, 6503, 2867],
